epsilon,shell,max_coefficient
0.01,1,0.013085293114897176
0.01,2,0.000624508445689353
0.01,3,9.82911965294512e-05
0.01,4,1.4248091072611515e-06
0.01,5,1.231972099608874e-06
0.01,6,4.652826629171193e-08
0.01,7,1.6578548139148954e-09
0.01,8,3.856407164337133e-09
0.01,9,7.19375040778679e-11
0.01,10,1.1686741713646918e-11
0.01,11,1.3489284565527807e-12
0.01,12,2.936253481965012e-14
0.01,13,2.518359537236904e-13
0.01,14,6.550895385736294e-15
0.01,15,3.6694868167242167e-16
0.01,16,1.9135626833336323e-16
0.01,17,5.261577284987485e-18
0.01,18,3.06004740824425e-18
0.01,19,4.9493395523381896e-18
0.01,20,1.0603285085764334e-18
0.01,21,3.31424580730455e-17
0.01,22,1.0120882688879768e-18
0.01,23,3.697276938621385e-18
0.01,24,1.7676572439695292e-18
0.01,25,1.2939015827780093e-18
0.01,26,7.342720056915296e-18
0.01,27,9.51450734926248e-19
0.01,28,1.5404804947419635e-18
0.01,29,6.359858178282065e-18
0.01,30,1.6297721340837795e-18
0.01,31,7.57948336531861e-18
0.03,1,0.039158082393501215
0.03,2,0.005942837053450452
0.03,3,0.00269839537533563
0.03,4,0.00012239763778905724
0.03,5,0.0003101690370079012
0.03,6,3.525787392673082e-05
0.03,7,5.777446233076807e-06
0.03,8,2.6705400447762162e-05
0.03,9,1.5075745624308264e-06
0.03,10,7.493392605401316e-07
0.03,11,2.63507019849165e-07
0.03,12,3.6152950507393174e-08
0.03,13,4.393522974216849e-07
0.03,14,3.431428167410037e-08
0.03,15,6.472194780875234e-09
0.03,16,9.12909851973209e-09
0.03,17,5.645441128638983e-10
0.03,18,7.931839111214344e-10
0.03,19,1.737761561958015e-10
0.03,20,8.606004558918013e-11
0.03,21,1.0128407602557986e-09
0.03,22,6.16504431148726e-11
0.03,23,1.9354064310966667e-11
0.03,24,1.0624445454720654e-11
0.03,25,7.238594191328117e-13
0.03,26,3.968724995739842e-12
0.03,27,4.4898017171428646e-13
0.03,28,7.743092993269374e-14
0.03,29,2.5276857287056586e-13
0.03,30,1.686960231320326e-14
0.03,31,1.2008281267490013e-14
